,Symbol,Weight,Ticker
111,BK840738     Corp,0.1515879389946098,DVA
112,ZS276820     Corp,0.1520826141442666,HLT
113,ZP610050     Corp,0.1518496309836978,SBAC
114,AX873186     Corp,0.1518721325500594,UCGIM
115,ZS572814     Corp,0.1492586719849557,CHTR
116,AT404736     Corp,0.1497020686861042,CQP
117,ZS463498     Corp,0.1489442745905415,IHRT
118,BJ264115     Corp,0.1483259126558169,KHC
119,BJ264117     Corp,0.1478206454049609,KHC
120,AM927664     Corp,0.1474288634834716,BWY
121,BJ716187     Corp,0.1472419613865195,WCC
122,AX735739     Corp,0.1470694157124937,PRSESE
123,BM662225     Corp,0.1468206306924472,FTR
124,AP063983     Corp,0.1464251452716583,MPW
125,BG081037     Corp,0.1461237077143928,ZAYO
126,BK841789     Corp,0.1438223831063951,WIN
127,ZP162987     Corp,0.1427713598298297,CPN
128,AN861566     Corp,0.1419971819238754,THC
129,QZ513404     Corp,0.1409979861045986,CSCHLD
130,AZ024645     Corp,0.1412228126321586,SIRI
131,AR675924     Corp,0.1403080320751114,OMF
132,ZO423912     Corp,0.1402094264665175,VMDTEF
133,ZQ526007     Corp,0.1399523298247403,ACI
134,BJ717014     Corp,0.1399563360702838,M
135,ZR742639     Corp,0.13958589816071498,IEP
136,BJ985200     Corp,0.1383004277269492,DAL
137,AM405999     Corp,0.1381352897746427,POST
138,ZP543483     Corp,0.1377540443544587,PRSESE
139,BJ065584     Corp,0.1361653344287116,HWM
140,AX333929     Corp,0.1357926852985018,OMF
141,AP388851     Corp,0.1356350986474098,BHCCN
142,AO721206     Corp,0.135144126675666,CWCLN
143,AW856649     Corp,0.1349758779414273,VST
144,AM927894     Corp,0.1346224300578577,BWY
145,AZ054843     Corp,0.1340959992536969,VST
146,BK128990     Corp,0.1335346286565921,IRM
147,QZ510792     Corp,0.1327591094433676,NUGGET
148,ZQ966024     Corp,0.1328367599982593,LUMN
149,ZQ667260     Corp,0.1323005264989091,VICI
150,BJ481203     Corp,0.1315443690649669,LYV
151,AZ988252     Corp,0.1302925164804218,OXY
152,AP534730     Corp,0.1294582169306751,BECN
153,ZQ060258     Corp,0.1288103709024349,LILAPR
154,AN253133     Corp,0.1278225807747141,TEACLL
155,BJ090202     Corp,0.1284749762723179,GPS
156,ZR598921     Corp,0.1276291644913338,UBER
157,BJ984398     Corp,0.1271938686626067,LVLT
158,ZQ456779     Corp,0.1272146465519067,ARDFIN
159,AM993360     Corp,0.1273907996306177,NRG
160,LW223766     Corp,0.1270786742792719,CPN
161,AU388762     Corp,0.12672687800180302,FINRSK
162,BM122465     Corp,0.1267580083181926,MLTPLN
163,AW999019     Corp,0.126295024947439,MDP
164,AM342846     Corp,0.1261350078096499,EM
165,ZO419254     Corp,0.1260391563241305,QUICKN
166,BK876343     Corp,0.1259867138131009,BLL
167,ZQ988012     Corp,0.1260932532533941,CPN
168,AT200240     Corp,0.1253188276386633,CYH
169,ZP111307     Corp,0.1250719706976009,BHCCN
170,AP338435     Corp,0.1251407374017948,EQT
171,ZP547803     Corp,0.1246636372822245,LUMN
172,ZR895639     Corp,0.1249588797096791,ALIANT
173,BK256707     Corp,0.1244063241865246,OXY
174,AP387177     Corp,0.1240194789249905,SGMS
175,ZP519345     Corp,0.1237427970598482,EQT
176,AZ304879     Corp,0.1240478190426518,HRI
177,ZR018021     Corp,0.1239754437285728,CCO
178,ZP547355     Corp,0.1231650467500319,MEGCN
179,ZP111305     Corp,0.1227615112359155,BHCCN
180,ZS717600     Corp,0.12281282399245098,BERY
181,ZR543833     Corp,0.1228054290458518,TGNA
182,AZ855656     Corp,0.1226362131787743,SEM
183,AZ770815     Corp,0.12217280180132199,JBSSBZ
184,ZP376904     Corp,0.1217884783806461,ALTICE
185,ZO693237     Corp,0.121925282803718,FTR
186,AW981942     Corp,0.1219149803522558,COMM
187,AS940638     Corp,0.1216486549315364,KHC
188,BJ657666     Corp,0.1216106005000202,X
189,ZP638621     Corp,0.1207376875469903,SFRFP
190,BJ097846     Corp,0.1208203861223185,XPO
191,BH538705     Corp,0.1204512767448996,TDG
192,BH798316     Corp,0.1202414253899537,SPR
193,AW777764     Corp,0.1198530363475469,HCA
194,AV137092     Corp,0.1187128919847729,CSCHLD
195,JK552270     Corp,0.1183139359093272,LUMN
196,AZ421062     Corp,0.1181689895566868,CQP
197,AT936853     Corp,0.1175526933347881,VCVHHO
198,ZP405280     Corp,0.1179791257208709,WES
199,AM376508     Corp,0.1175162736365723,MGMGPO
200,ZO392848     Corp,0.1172950373195105,AVYA
201,AQ232284     Corp,0.116713947721839,TNETBB
202,BK104300     Corp,0.1163313982752387,BMCAUS
203,AQ709524     Corp,0.1165532081068143,CSCHLD
204,LW952929     Corp,0.1156973695437847,KHC
205,ZQ926671     Corp,0.1159079343771396,TERMED
206,AN710141     Corp,0.1156429057516365,PETM
207,AT226664     Corp,0.1154503221811199,EQM
208,ZO514524     Corp,0.1148827054340704,LB
209,JK735139     Corp,0.1147334946016966,CHTR
210,BJ717595     Corp,0.1145553329366404,MCHP
211,BM207200     Corp,0.1139702334778254,ASTONM
212,ZQ225580     Corp,0.1138252094299573,NFLX
213,AX540871     Corp,0.1134870671044993,SGMS
214,AZ855584     Corp,0.1140257510968668,ARGID
215,AQ729493     Corp,0.1132800776978558,ARMK
216,BJ765166     Corp,0.1133502597086007,DHC
217,ZO037338     Corp,0.1131159280095617,NFE
218,AW981943     Corp,0.11296938870388801,COMM
219,BJ816239     Corp,0.1128142415383199,
220,ZR604385     Corp,0.11265285328464698,
221,AZ257199     Corp,0.1126428537401219,
222,ZR576372     Corp,0.1123331447344596,
223,BG089773     Corp,0.1117688918613455,
224,BM585214     Corp,0.1118722109268517,
225,BK877306     Corp,0.1116083153500561,
226,AN400460     Corp,0.1117052507924691,
227,ZO253424     Corp,0.1114588400164523,
228,BK084995     Corp,0.11153014896955801,
229,AM379527     Corp,0.1113616056040889,
230,AQ382234     Corp,0.1122910605158264,
231,AT297457     Corp,0.1107156639525659,
232,BM664362     Corp,0.1104169753761882,
233,BJ877641     Corp,0.1106638950679981,
234,BM627973     Corp,0.1102933315765877,
235,AZ678366     Corp,0.1108178971328585,
236,BH845045     Corp,0.1102116526004723,
237,BJ477487     Corp,0.10983366845152902,
238,BK079386     Corp,0.1097151346999924,
239,BK692651     Corp,0.1096163737812899,
240,ZR639737     Corp,0.1093713357280902,
241,AP400874     Corp,0.1092125486174366,
242,BJ729448     Corp,0.109579517961362,
243,ZO928083     Corp,0.1091677731068229,
244,AN941060     Corp,0.1095045138650101,
245,BK746243     Corp,0.1084197210447155,
246,LW161154     Corp,0.1084938504872431,
247,ZQ635622     Corp,0.1102890503847474,
248,BM662229     Corp,0.10815274674430801,
249,ZR924158     Corp,0.108350638738811,
250,AT333273     Corp,0.1076442667515985,
251,LW257435     Corp,0.1074868600770421,
252,BM625636     Corp,0.1072249718813916,
253,AZ589558     Corp,0.1078628248731867,
254,QZ981474     Corp,0.1068301653899445,
255,BJ369767     Corp,0.106686972362286,
256,AP048743     Corp,0.1067681858098089,
257,ZP681006     Corp,0.1067618159259959,
258,ZO393318     Corp,0.1064244545701476,
259,BM627976     Corp,0.1062877360376635,
260,BK129430     Corp,0.1062200434880697,
261,AN820976     Corp,0.1062284779598553,
262,ZQ667263     Corp,0.1055503141610757,
263,QZ981658     Corp,0.1060927804728239,
264,JK596825     Corp,0.1060734171669549,
265,AT990138     Corp,0.1056885034393116,
266,ZS521500     Corp,0.1058328287925576,
267,BH786158     Corp,0.1056884140134705,
268,AM730963     Corp,0.1058607532769071,
269,AN774136     Corp,0.1055284569749889,
270,BK079385     Corp,0.1058347453819683,
271,BM587846     Corp,0.1053398087842549,
272,AQ292375     Corp,0.1050929376218323,
273,ZQ443851     Corp,0.1049906486809523,
274,ZR630930     Corp,0.1050893995563214,
275,AV119758     Corp,0.1045756488222125,
276,BG089824     Corp,0.1045948769849865,
277,BK862250     Corp,0.1044955513095569,
278,AP068449     Corp,0.1045987854486354,
279,BG078519     Corp,0.1044190136363591,
280,BJ090231     Corp,0.1045510101951842,
281,BH331711     Corp,0.1044551616021448,
282,AN534799     Corp,0.1039809726030377,
283,ZO500537     Corp,0.1036655019378367,
284,ZO394138     Corp,0.1034287648202609,
285,AM730856     Corp,0.1032089529692703,
286,ZR631760     Corp,0.1035860092748953,
287,ZR961974     Corp,0.1031318565653456,
288,AR383959     Corp,0.1033463737316299,
289,AX565534     Corp,0.1029371321578689,
290,AT957644     Corp,0.1027642544110655,
291,ZO418868     Corp,0.1022841779295381,
292,ZO418905     Corp,0.1035631279098356,
293,AM216443     Corp,0.1028338921534836,
294,BK892428     Corp,0.1025843221464939,
295,ZP614164     Corp,0.1027203592588896,
296,BK103891     Corp,0.1026910420454027,
297,AQ889787     Corp,0.1027208063880952,
298,AL293465     Corp,0.102783870969631,
299,ZP609628     Corp,0.1021702145374987,
300,AN915563     Corp,0.1019577900001738,
301,BK012595     Corp,0.1013242901104865,
302,JK977952     Corp,0.1020130264058784,
303,BJ573345     Corp,0.10169795064454902,
304,ZP329565     Corp,0.10146417912247699,
