,,Weights
"1,32",HIO,0.05657
"1,32",MPV,0.00213
"1,32",DHY,0.02507
"1,32",MCI,0.0032
"1,32",AWF,0.0072
"1,32",DHF,0.07077
"1,32",BGH,0.01538
"1,32",EAD,0.11622
"1,32",RA,0.00622
"1,32",KIO,0.00822
"1,32",ISD,0.07933
"1,32",VLT,0.00058
"1,32",FSD,0.00058
"1,32",GHY,0.00058
"1,32",JLS,0.00058
"1,32",IVH,0.00058
"1,32",AIF,0.00058
"1,32",HYB,0.00058
"1,32",EIC,0.00058
"1,31",HYT,0.36226
"1,31",HNW,0.00092
"1,31",JHAA,0.00161
"1,31",IHIT,0.00197
"1,31",HIX,0.00456
"1,31",EHI,0.00649
"1,31",PHT,0.00849
"1,31",HYI,0.0089
"1,31",OPP,0.00847
"1,31",MCR,0.00074
"1,31",CIK,0.00312
"1,31",NHS,0.19662
"1,31",HIO,0.05662
"1,31",MPV,0.00218
"1,31",DHY,0.02512
"1,31",MCI,0.00324
"1,31",AWF,0.00791
"1,31",DHF,0.07077
"1,31",BGH,0.01538
"1,31",EAD,0.11622
"1,31",RA,0.00622
"1,31",KIO,0.00822
"1,31",ISD,0.07933
"1,31",VLT,0.00058
"1,31",FSD,0.00058
"1,31",GHY,0.00058
"1,31",JLS,0.00058
"1,31",IVH,0.00058
"1,31",AIF,0.00058
"1,31",HYB,0.00058
"1,31",EIC,0.00058
"1,30",HNW,0.00333
"1,30",JHAA,0.00437
"1,30",IHIT,0.00508
"1,30",HIX,0.00656
"1,30",EHI,0.00772
"1,30",PHT,0.00892
"1,30",HYI,0.00017
"1,30",OPP,0.00191
"1,30",MCR,0.00372
"1,30",CIK,0.00563
"1,30",NHS,0.20763
"1,30",HIO,0.0671
"1,30",MPV,0.00544
"1,30",DHY,0.0372
"1,30",MCI,0.00595
"1,30",AWF,0.00928
"1,30",DHF,0.08143
"1,30",BGH,0.00758
"1,30",EAD,0.10925
"1,30",RA,0.00016
"1,30",KIO,0.00516
"1,30",ISD,0.31627
"1,30",VLT,2e-05
"1,30",FSD,0.04002
"1,30",GHY,2e-05
"1,30",JLS,2e-05
"1,30",IVH,2e-05
"1,30",AIF,0.00668
"1,30",HYB,0.04668
"1,30",EIC,0.00668
"1,29",JHAA,0.00448
"1,29",IHIT,0.0052
"1,29",HIX,0.00668
"1,29",EHI,0.00783
"1,29",PHT,0.00903
"1,29",HYI,0.00028
"1,29",OPP,0.00202
"1,29",MCR,0.00384
"1,29",CIK,0.00574
"1,29",NHS,0.19774
"1,29",HIO,0.06722
"1,29",MPV,0.00555
"1,29",DHY,0.03732
"1,29",MCI,0.00669
"1,29",AWF,0.00936
"1,29",DHF,0.0715
"1,29",BGH,0.00765
"1,29",EAD,0.09932
"1,29",RA,0.00023
"1,29",KIO,0.00623
"1,29",ISD,0.30623
"1,29",VLT,0.00123
"1,29",FSD,0.06123
"1,29",GHY,0.00123
"1,29",JLS,0.00123
"1,29",IVH,0.00123
"1,29",AIF,0.00456
"1,29",HYB,0.06456
"1,29",EIC,0.00456
"1,28",IHIT,0.00571
"1,28",HIX,0.00683
"1,28",EHI,0.00798
"1,28",PHT,0.00918
"1,28",HYI,0.00043
"1,28",OPP,0.00217
"1,28",MCR,0.00399
"1,28",CIK,0.00589
"1,28",NHS,0.20789
"1,28",HIO,0.06737
"1,28",MPV,0.0057
"1,28",DHY,0.03746
"1,28",MCI,0.00684
"1,28",AWF,0.0095
"1,28",DHF,0.07165
