ID,CIK,EHI,OPP,MPV,HNW,HYI,PHT,GHY,EAD,MCR,JHB,FSD,BGIO,IHTA,DHY,NHS,VLT,IVH,BGH,AWF,RA,MCI,DHF,HIX,HIO,GGM,JHAA,JLS,DMO,ISD,EHT,EIC,JCO,HYT,HYB,AIF,IHIT,KIO,CIF
QZ492973     Corp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057186525318404825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QZ495640     Corp,0.0,0.0,0.0,0.0,0.36081476914625915,0.0,0.376122322036698,0.0,0.0,0.0,0.0,0.12256463015077901,0.28548057400496757,0.0,0.0,0.0,0.0,0.0,0.0,0.04631788121839543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3992794007648467,0.0,0.0,0.0,0.0
QZ498658     Corp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QZ510662     Corp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026990796458615803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QZ510792     Corp,0.8188820212554151,0.0,0.0,0.0,0.24910647000760786,0.12280921586595257,0.25641723333813565,0.09271383608502884,0.0,0.14868435115735368,0.0,0.0,0.0,0.0,0.8764180700973222,0.0,0.0,0.7790874228434963,0.0,0.06298370246581683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24929398502520658,0.0,0.0,0.0,0.2722285156477389,0.0,0.0,0.0,0.0,0.3328703711601888
QZ513404     Corp,0.024250208943835252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6029115817396963,0.0,0.41085812105418684,0.0,0.0,0.1760883827861295,0.16802076131894803,0.0,0.0,0.0,0.0,0.9578867879420727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.347869361512089
QZ518318     Corp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04960874263124055,0.0,0.0,0.0,0.0,0.0
QZ532088     Corp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055144393968593865,0.15717609692775492,0.0,0.5228454629910595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07785331242109485,0.0,0.0,0.0,0.0,0.0
QZ534636     Corp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8578810755168368,0.0,0.0,0.0507410231802825,0.0,0.0,0.0,0.0,0.0
QZ543936     Corp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05780700409196203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
