,,Weights
"1,45",CTR,0.00153
"1,45",GRF,0.07553
"1,45",EMO,0.0
"1,45",SRV,0.0047
"1,45",SZC,0.0497
"1,45",CEN,0.01251
"1,44",ETJ,0.00144
"1,44",BUI,0.0
"1,44",EOS,0.0
"1,44",RFI,0.00618
"1,44",STK,0.00668
"1,44",BMEZ,0.00642
"1,44",EOI,0.08668
"1,44",EXD,0.00614
"1,44",RQI,0.00364
"1,44",RNP,0.00422
"1,44",BSTZ,0.0048
"1,44",AIO,0.00541
"1,44",CII,0.02572
"1,44",BDJ,0.03314
"1,44",CHN,0.00214
"1,44",BGY,0.00283
"1,44",IAF,0.00355
"1,44",AWP,0.00392
"1,44",BOE,0.00507
"1,44",DPG,0.00347
"1,44",NFJ,0.00389
"1,44",AGD,0.00041
"1,44",AEF,0.0
"1,44",ADX,0.43138
"1,44",AOD,0.00588
"1,44",BGR,0.00378
"1,44",CPZ,0.00155
"1,44",GLQ,0.0
"1,44",BCX,0.00042
"1,44",JEQ,0.00042
"1,44",IGR,0.00042
"1,44",ASA,0.00195
"1,44",PEO,0.03279
"1,44",BIF,0.0
"1,44",CEM,0.0
"1,44",MIE,0.00026
"1,44",CET,0.19401
"1,44",DSE,0.00115
"1,44",CTR,0.00449
"1,44",GRF,0.05649
"1,44",EMO,0.0
"1,44",SRV,0.0
"1,44",SZC,0.02899
"1,44",CEN,0.02027
"1,43",BUI,0.00036
"1,43",EOS,0.00083
"1,43",RFI,0.0
"1,43",STK,0.0
"1,43",BMEZ,0.0
"1,43",EOI,0.0882
"1,43",EXD,0.00225
"1,43",RQI,0.00281
"1,43",RNP,0.00281
"1,43",BSTZ,0.0034
"1,43",AIO,0.00431
"1,43",CII,0.02431
"1,43",BDJ,0.03205
"1,43",CHN,0.00105
"1,43",BGY,0.00208
"1,43",IAF,0.00244
"1,43",AWP,0.00318
"1,43",BOE,0.01395
"1,43",DPG,0.00195
"1,43",NFJ,0.00237
"1,43",AGD,0.0
"1,43",AEF,0.0
"1,43",ADX,0.42939
"1,43",AOD,0.00539
"1,43",BGR,0.00223
"1,43",CPZ,0.00056
"1,43",GLQ,0.0
"1,43",BCX,0.0
"1,43",JEQ,0.0
"1,43",IGR,0.00026
"1,43",ASA,0.0018
"1,43",PEO,0.03097
"1,43",BIF,0.01
"1,43",CEM,0.0
"1,43",MIE,0.0
"1,43",CET,0.18205
"1,43",DSE,0.00063
"1,43",CTR,0.00229
"1,43",GRF,0.06829
"1,43",EMO,0.0
"1,43",SRV,0.00496
"1,43",SZC,0.04996
"1,43",CEN,0.02286
"1,42",EOS,7e-05
"1,42",RFI,0.0
"1,42",STK,0.0
"1,42",BMEZ,0.0
"1,42",EOI,0.08744
"1,42",EXD,0.00149
"1,42",RQI,0.00205
"1,42",RNP,0.00233
"1,42",BSTZ,0.00292
"1,42",AIO,0.00353
"1,42",CII,0.02353
"1,42",BDJ,0.03127
"1,42",CHN,0.00027
"1,42",BGY,0.00096
"1,42",IAF,0.00167
"1,42",AWP,0.00242
"1,42",BOE,0.01318
"1,42",DPG,0.00118
"1,42",NFJ,0.0016
"1,42",AGD,0.0
"1,42",AEF,0.0
"1,42",ADX,0.43814
"1,42",AOD,0.00464
"1,42",BGR,0.00149
"1,42",CPZ,0.0
"1,42",GLQ,0.0
"1,42",BCX,0.0
"1,42",JEQ,0.0
"1,42",IGR,0.0
"1,42",ASA,0.0004
"1,42",PEO,0.03123
"1,42",BIF,0.01
"1,42",CEM,0.0
"1,42",MIE,0.0
"1,42",CET,0.1803
"1,42",DSE,0.0003
"1,42",CTR,0.00197
"1,42",GRF,0.08797
"1,42",EMO,0.0
"1,42",SRV,0.00463
"1,42",SZC,0.03963
"1,42",CEN,0.02337
"1,41",RFI,0.00231
"1,41",STK,0.00281
"1,41",BMEZ,0.00255
"1,41",EOI,0.08334
"1,41",EXD,0.00659
"1,41",RQI,0.00686
"1,41",RNP,0.00744
"1,41",BSTZ,0.0
"1,41",AIO,0.0
"1,41",CII,0.01985
"1,41",BDJ,0.02534
"1,41",CHN,0.00467
"1,41",BGY,0.0057
"1,41",IAF,0.00713
"1,41",AWP,0.0075
"1,41",BOE,0.00789
"1,41",DPG,0.00629
"1,41",NFJ,0.00712
"1,41",AGD,0.00147
"1,41",AEF,0.00101
"1,41",ADX,0.43149
"1,41",AOD,0.00749
"1,41",BGR,0.00117
"1,41",CPZ,0.0
"1,41",GLQ,0.0
"1,41",BCX,0.0
"1,41",JEQ,0.0
"1,41",IGR,0.00051
"1,41",ASA,0.00128
"1,41",PEO,0.03294
"1,41",BIF,0.0
"1,41",CEM,0.0
"1,41",MIE,0.0
"1,41",CET,0.1934
"1,41",DSE,0.00197
"1,41",CTR,0.0053
"1,41",GRF,0.0753
"1,41",EMO,0.0003
"1,41",SRV,0.0003
"1,41",SZC,0.0353
"1,41",CEN,0.00738
"1,40",STK,0.00143
"1,40",BMEZ,0.00117
"1,40",EOI,0.08196
"1,40",EXD,0.00521
"1,40",RQI,0.00548
"1,40",RNP,0.00605
"1,40",BSTZ,0.0
"1,40",AIO,0.0
"1,40",CII,0.01847
"1,40",BDJ,0.03395
"1,40",CHN,0.00329
"1,40",BGY,0.00432
"1,40",IAF,0.00575
"1,40",AWP,0.00612
"1,40",BOE,0.00651
"1,40",DPG,0.00491
"1,40",NFJ,0.00574
"1,40",AGD,9e-05
"1,40",AEF,0.0
"1,40",ADX,0.43011
"1,40",AOD,0.00611
"1,40",BGR,0.0
"1,40",CPZ,0.0
"1,40",GLQ,0.0
"1,40",BCX,0.0
"1,40",JEQ,0.0
"1,40",IGR,0.0
"1,40",ASA,0.0
"1,40",PEO,0.04152
"1,40",BIF,0.01
"1,40",CEM,0.0
"1,40",MIE,0.0
"1,40",CET,0.19184
"1,40",DSE,0.00041
"1,40",CTR,0.00375
"1,40",GRF,0.08575
"1,40",EMO,0.0
"1,40",SRV,0.0
"1,40",SZC,0.03825
"1,40",CEN,0.00182
"1,39",BMEZ,0.00509
"1,39",EOI,0.08562
"1,39",EXD,0.00913
"1,39",RQI,0.00941
"1,39",RNP,0.00027
"1,39",BSTZ,0.00085
"1,39",AIO,0.00176
"1,39",CII,0.02239
"1,39",BDJ,0.02819
"1,39",CHN,0.00786
"1,39",BGY,0.00855
"1,39",IAF,0.00891
"1,39",AWP,0.00928
"1,39",BOE,0.00966
"1,39",DPG,0.00846
"1,39",NFJ,0.00888
"1,39",AGD,0.00279
"1,39",AEF,0.00234
"1,39",ADX,0.43281
"1,39",AOD,0.00931
"1,39",BGR,0.00352
"1,39",CPZ,0.00019
"1,39",GLQ,0.00019
"1,39",BCX,0.0
"1,39",JEQ,0.00023
"1,39",IGR,0.00238
"1,39",ASA,0.00238
"1,39",PEO,0.03488
"1,39",BIF,0.00033
"1,39",CEM,0.00033
"1,39",MIE,0.00144
"1,39",CET,0.20519
"1,39",DSE,0.00519
"1,39",CTR,0.00852
"1,39",GRF,0.04452
"1,39",EMO,0.0
"1,39",SRV,0.00286
"1,39",SZC,0.01286
"1,39",CEN,0.00341
"1,38",EOI,0.08513
"1,38",EXD,0.00864
"1,38",RQI,0.0
"1,38",RNP,5e-05
"1,38",BSTZ,0.00064
"1,38",AIO,0.00155
"1,38",CII,0.02218
"1,38",BDJ,0.03831
"1,38",CHN,0.00764
"1,38",BGY,0.00833
"1,38",IAF,0.00869
"1,38",AWP,0.0
"1,38",BOE,0.00021
"1,38",DPG,0.0
"1,38",NFJ,0.0
"1,38",AGD,0.00376
"1,38",AEF,0.00285
"1,38",ADX,0.43285
"1,38",AOD,0.0
"1,38",BGR,0.00301
"1,38",CPZ,0.00078
"1,38",GLQ,0.0002
"1,38",BCX,0.00082
"1,38",JEQ,0.00082
"1,38",IGR,0.00296
"1,38",ASA,0.00373
"1,38",PEO,0.03457
"1,38",BIF,0.00911
"1,38",CEM,0.0
"1,38",MIE,0.00244
"1,38",CET,0.19619
"1,38",DSE,0.00762
"1,38",CTR,0.00429
"1,38",GRF,0.05029
"1,38",EMO,0.00029
"1,38",SRV,0.00362
"1,38",SZC,0.02362
"1,38",CEN,0.03481
"1,37",EXD,0.00234
"1,37",RQI,0.00289
"1,37",RNP,0.00346
"1,37",BSTZ,0.00405
"1,37",AIO,0.00466
"1,37",CII,0.01528
"1,37",BDJ,0.02851
"1,37",CHN,0.0
"1,37",BGY,0.0
"1,37",IAF,0.00065
"1,37",AWP,0.00176
"1,37",BOE,0.00292
"1,37",DPG,0.00132
"1,37",NFJ,0.00257
"1,37",AGD,0.00039
"1,37",AEF,0.00039
"1,37",ADX,0.45087
"1,37",AOD,0.0
"1,37",BGR,0.00218
"1,37",CPZ,0.0
"1,37",GLQ,0.0
"1,37",BCX,0.0
"1,37",JEQ,0.0
"1,37",IGR,0.0
"1,37",ASA,0.00092
"1,37",PEO,0.03842
"1,37",BIF,0.02115
"1,37",CEM,0.0
"1,37",MIE,0.00037
"1,37",CET,0.23037
"1,37",DSE,0.00323
"1,37",CTR,0.0049
"1,37",GRF,0.0789
"1,37",EMO,0.0
"1,37",SRV,0.0
"1,37",SZC,0.0364
"1,37",CEN,0.06109
"1,36",RQI,0.00345
"1,36",RNP,0.00402
"1,36",BSTZ,0.00461
"1,36",AIO,0.00522
"1,36",CII,0.01584
"1,36",BDJ,0.02907
"1,36",CHN,0.0
"1,36",BGY,0.0
"1,36",IAF,0.0012
"1,36",AWP,0.00231
"1,36",BOE,0.01346
"1,36",DPG,0.00226
"1,36",NFJ,0.00309
"1,36",AGD,0.00049
"1,36",AEF,0.00049
"1,36",ADX,0.44096
"1,36",AOD,0.0
"1,36",BGR,0.0033
"1,36",CPZ,0.0
"1,36",GLQ,0.0
"1,36",BCX,0.0
"1,36",JEQ,0.0
"1,36",IGR,0.0
"1,36",ASA,0.00096
"1,36",PEO,0.03929
"1,36",BIF,0.02111
"1,36",CEM,0.0
"1,36",MIE,0.00022
"1,36",CET,0.22897
"1,36",DSE,0.0004
"1,36",CTR,0.0004
"1,36",GRF,0.0824
"1,36",EMO,0.0
"1,36",SRV,0.00073
"1,36",SZC,0.03573
"1,36",CEN,0.06006
"1,35",RNP,0.00559
"1,35",BSTZ,0.00618
"1,35",AIO,0.00679
"1,35",CII,0.01741
"1,35",BDJ,0.03064
"1,35",CHN,0.0003
"1,35",BGY,0.00134
"1,35",IAF,0.00277
"1,35",AWP,0.00388
"1,35",BOE,0.00503
"1,35",DPG,0.00383
"1,35",NFJ,0.00467
"1,35",AGD,0.00293
"1,35",AEF,0.00247
"1,35",ADX,0.45247
"1,35",AOD,0.0
"1,35",BGR,0.00481
"1,35",CPZ,0.0
"1,35",GLQ,0.0
"1,35",BCX,0.0
"1,35",JEQ,0.0
"1,35",IGR,0.0
"1,35",ASA,0.00256
"1,35",PEO,0.04089
"1,35",BIF,0.02362
"1,35",CEM,0.00062
"1,35",MIE,0.00506
"1,35",CET,0.21131
"1,35",DSE,0.00274
"1,35",CTR,0.0
"1,35",GRF,0.07541
"1,35",EMO,0.0
"1,35",SRV,0.00124
"1,35",SZC,0.03124
"1,35",CEN,0.05422
"1,34",BSTZ,0.0081
"1,34",AIO,0.0
"1,34",CII,0.01964
"1,34",BDJ,0.03287
"1,34",CHN,0.00287
"1,34",BGY,0.00356
"1,34",IAF,0.00499
"1,34",AWP,0.0061
"1,34",BOE,0.00763
"1,34",DPG,0.00603
"1,34",NFJ,0.00728
"1,34",AGD,0.00424
"1,34",AEF,0.00424
"1,34",ADX,0.46472
"1,34",AOD,0.00022
"1,34",BGR,0.00601
"1,34",CPZ,0.00212
"1,34",GLQ,0.00035
"1,34",BCX,0.0
"1,34",JEQ,0.0
"1,34",IGR,0.00116
"1,34",ASA,0.00731
"1,34",PEO,0.03564
"1,34",BIF,0.02473
"1,34",CEM,0.00273
"1,34",MIE,0.0
"1,34",CET,0.1869
"1,34",DSE,0.0069
"1,34",CTR,0.00857
"1,34",GRF,0.05657
"1,34",EMO,0.0
"1,34",SRV,0.0024
"1,34",SZC,0.0324
"1,34",CEN,0.05372
"1,33",AIO,0.0
"1,33",CII,0.01949
"1,33",BDJ,0.03272
"1,33",CHN,0.00272
"1,33",BGY,0.00341
"1,33",IAF,0.00519
"1,33",AWP,0.00593
"1,33",BOE,0.00747
"1,33",DPG,0.00587
"1,33",NFJ,0.00712
"1,33",AGD,0.00364
"1,33",AEF,0.00319
"1,33",ADX,0.46462
"1,33",AOD,0.00012
"1,33",BGR,0.00538
"1,33",CPZ,0.00149
"1,33",GLQ,0.0
"1,33",BCX,0.0
"1,33",JEQ,0.0
"1,33",IGR,0.00048
"1,33",ASA,0.00509
"1,33",PEO,0.03426
"1,33",BIF,0.01699
"1,33",CEM,0.00499
"1,33",MIE,0.0
"1,33",CET,0.21707
"1,33",DSE,0.0
"1,33",CTR,0.00183
"1,33",GRF,0.05783
"1,33",EMO,0.00033
"1,33",SRV,0.00367
"1,33",SZC,0.03867
"1,33",CEN,0.05042
"1,32",CII,0.01957
"1,32",BDJ,0.03279
"1,32",CHN,0.00279
"1,32",BGY,0.00348
"1,32",IAF,0.00527
"1,32",AWP,0.00638
"1,32",BOE,0.00753
"1,32",DPG,0.00593
"1,32",NFJ,0.00718
"1,32",AGD,0.00414
"1,32",AEF,0.00414
"1,32",ADX,0.46462
"1,32",AOD,0.00012
"1,32",BGR,0.00538
"1,32",CPZ,0.00205
"1,32",GLQ,0.00028
"1,32",BCX,0.0
"1,32",JEQ,0.00032
"1,32",IGR,0.00032
"1,32",ASA,0.00494
"1,32",PEO,0.03494
"1,32",BIF,0.01676
"1,32",CEM,0.00476
"1,32",MIE,0.00809
"1,32",CET,0.19559
"1,32",DSE,0.00559
"1,32",CTR,0.00059
"1,32",GRF,0.06659
"1,32",EMO,0.0
"1,32",SRV,0.0
"1,32",SZC,0.03409
"1,32",CEN,0.05577
"1,31",BDJ,0.03729
"1,31",CHN,0.00462
"1,31",BGY,0.0
"1,31",IAF,0.0
"1,31",AWP,0.0
"1,31",BOE,0.0
"1,31",DPG,0.0
"1,31",NFJ,0.0
"1,31",AGD,0.0
"1,31",AEF,0.00464
"1,31",ADX,0.46511
"1,31",AOD,0.0
"1,31",BGR,0.00035
"1,31",CPZ,0.0
"1,31",GLQ,0.0
"1,31",BCX,0.0
"1,31",JEQ,0.0
"1,31",IGR,0.0
"1,31",ASA,0.00427
"1,31",PEO,0.04093
"1,31",BIF,0.01457
"1,31",CEM,0.00157
"1,31",MIE,0.0049
"1,31",CET,0.23115
"1,31",DSE,0.00115
"1,31",CTR,0.0
"1,31",GRF,0.08982
"1,31",EMO,0.0
"1,31",SRV,0.0
"1,31",SZC,0.03232
"1,31",CEN,0.06729
"1,30",CHN,0.00151
"1,30",BGY,0.00255
"1,30",IAF,0.00362
"1,30",AWP,0.00473
"1,30",BOE,0.00588
"1,30",DPG,0.00348
"1,30",NFJ,0.00473
"1,30",AGD,0.00039
"1,30",AEF,0.00039
"1,30",ADX,0.48086
"1,30",AOD,0.00036
"1,30",BGR,0.00405
"1,30",CPZ,0.00238
"1,30",GLQ,0.00179
"1,30",BCX,0.00179
"1,30",JEQ,0.00179
"1,30",IGR,0.00251
"1,30",ASA,0.00174
"1,30",PEO,0.03757
"1,30",BIF,0.02121
"1,30",CEM,0.0
"1,30",MIE,0.0071
"1,30",CET,0.22085
"1,30",DSE,0.00085
"1,30",CTR,0.00751
"1,30",GRF,0.07151
"1,30",EMO,0.0
"1,30",SRV,0.00568
"1,30",SZC,0.05568
"1,30",CEN,0.0475
"1,29",BGY,0.00156
"1,29",IAF,0.00263
"1,29",AWP,0.00375
"1,29",BOE,0.0149
"1,29",DPG,0.0025
"1,29",NFJ,0.00375
"1,29",AGD,0.0
"1,29",AEF,0.0
